Probe,Female CBZ C1,Female CBZ C2,Female CBZ C3,Female CBZ L1,Female CBZ L2,Female CBZ  L3,Female CBZ H1,Female CBZ H2,Female CBZ H3
A_15_P100002,0,0,0,1,1,1,1,1,1
A_15_P100003,0,0,0,1,1,1,1,1,1
A_15_P100007,0,0,0,1,1,1,1,1,1
A_15_P100008,0,0,0,1,1,1,1,1,1
A_15_P100009,0,0,0,1,1,1,1,1,1
A_15_P100010,0,0,0,1,1,1,1,1,1
A_15_P100011,0,0,0,1,1,1,1,1,1
A_15_P100012,0,0,0,1,1,1,1,1,1
A_15_P100014,0,0,0,1,1,1,1,1,1
A_15_P100015,0,0,0,1,1,1,1,1,1
A_15_P100016,0,0,0,1,1,1,1,1,1
A_15_P100017,0,0,0,1,1,1,1,1,1
A_15_P100018,0,0,0,1,1,1,1,1,1
A_15_P100019,0,0,0,1,1,1,1,1,1
A_15_P100022,0,0,0,1,1,1,1,1,1
A_15_P100023,0,0,0,1,1,1,1,1,1
A_15_P100025,0,0,0,1,1,1,1,1,1
A_15_P100028,0,0,0,1,1,1,1,1,1
A_15_P100030,0,0,0,1,1,1,1,1,1
A_15_P100032,0,0,0,1,1,1,1,1,1
A_15_P100033,0,0,0,1,1,1,1,1,1
A_15_P100038,0,0,0,1,1,1,1,1,1
A_15_P100043,0,0,0,1,1,1,1,1,1
A_15_P100048,0,0,0,1,1,1,1,1,1
A_15_P100049,0,0,0,1,1,1,1,1,1
A_15_P100051,0,0,0,1,1,1,1,1,1
A_15_P100054,0,0,0,1,1,1,1,1,1
A_15_P100058,0,0,0,1,1,1,1,1,1
A_15_P100059,0,0,0,1,1,1,1,1,1
A_15_P100061,0,0,0,1,1,1,1,1,1
A_15_P100063,0,0,0,1,1,1,1,1,1
A_15_P100064,0,0,0,1,1,1,1,1,1
A_15_P100067,0,0,0,1,1,1,1,1,1
A_15_P100068,0,0,0,1,1,1,1,1,1
A_15_P100069,0,0,0,1,1,1,1,1,1
A_15_P100070,0,0,0,1,1,1,1,1,1
A_15_P100071,0,0,0,1,1,1,1,1,1
A_15_P100072,0,0,0,1,1,1,1,1,1
A_15_P100073,0,0,0,1,1,1,1,1,1
A_15_P100074,0,0,0,1,1,1,1,1,1
A_15_P100077,0,0,0,1,1,1,1,1,1
A_15_P100080,0,0,0,1,1,1,1,1,1
A_15_P100082,0,0,0,1,1,1,1,1,1
A_15_P100086,0,0,0,1,1,1,1,1,1
A_15_P100088,0,0,0,1,1,1,1,1,1
A_15_P100091,0,0,0,1,1,1,1,1,1
A_15_P100097,0,0,0,1,1,1,1,1,1
A_15_P100099,0,0,0,1,1,1,1,1,1
A_15_P100100,0,0,0,1,1,1,1,1,1
A_15_P100102,0,0,0,1,1,1,1,1,1
A_15_P100104,0,0,0,1,1,1,1,1,1
A_15_P100107,0,0,0,1,1,1,1,1,1
A_15_P100112,0,0,0,1,1,1,1,1,1
A_15_P100113,0,0,0,1,1,1,1,1,1
A_15_P100114,0,0,0,1,1,1,1,1,1
A_15_P100115,0,0,0,1,1,1,1,1,1
A_15_P100116,0,0,0,1,1,1,1,1,1
A_15_P100117,0,0,0,1,1,1,1,1,1
A_15_P100120,0,0,0,1,1,1,1,1,1
A_15_P100121,0,0,0,1,1,1,1,1,1
A_15_P100122,0,0,0,1,1,1,1,1,1
A_15_P100123,0,0,0,1,1,1,1,1,1
A_15_P100127,0,0,0,1,1,1,1,1,1
A_15_P100128,0,0,0,1,1,1,1,1,1
A_15_P100139,0,0,0,1,1,1,1,1,1
A_15_P100140,0,0,0,1,1,1,1,1,1
A_15_P100141,0,0,0,1,1,1,1,1,1
A_15_P100143,0,0,0,1,1,1,1,1,1
A_15_P100144,0,0,0,1,1,1,1,1,1
A_15_P100145,0,0,0,1,1,1,1,1,1
A_15_P100147,0,0,0,1,1,1,1,1,1
A_15_P100151,0,0,0,1,1,1,1,1,1
A_15_P100153,0,0,0,1,1,1,1,1,1
A_15_P100154,0,0,0,1,1,1,1,1,1
A_15_P100156,0,0,0,1,1,1,1,1,1
A_15_P100157,0,0,0,1,1,1,1,1,1
A_15_P100160,0,0,0,1,1,1,1,1,1
A_15_P100161,0,0,0,1,1,1,1,1,1
A_15_P100162,0,0,0,1,1,1,1,1,1
A_15_P100163,0,0,0,1,1,1,1,1,1
A_15_P100165,0,0,0,1,1,1,1,1,1
A_15_P100166,0,0,0,1,1,1,1,1,1
A_15_P100168,0,0,0,1,1,1,1,1,1
A_15_P100170,0,0,0,1,1,1,1,1,1
A_15_P100172,0,0,0,1,1,1,1,1,1
A_15_P100178,0,0,0,1,1,1,1,1,1
A_15_P100179,0,0,0,1,1,1,1,1,1
A_15_P100185,0,0,0,1,1,1,1,1,1
A_15_P100191,0,0,0,1,1,1,1,1,1
A_15_P100193,0,0,0,1,1,1,1,1,1
A_15_P100194,0,0,0,1,1,1,1,1,1
A_15_P100195,0,0,0,1,1,1,1,1,1
A_15_P100196,0,0,0,1,1,1,1,1,1
A_15_P100199,0,0,0,1,1,1,1,1,1
A_15_P100200,0,0,0,1,1,1,1,1,1
A_15_P100201,0,0,0,1,1,1,1,1,1
